Entity,Identifier
advanced AI,CoDiet_S2_1
advanced bioinformatic,CoDiet_S2_2
advanced bioinformatics,CoDiet_S2_3
AI,CoDiet_S2_4
AI driven,CoDiet_S2_5
AI driven technology,CoDiet_S2_6
AI environment,CoDiet_S2_7
AI model,CoDiet_S2_8
AI models,CoDiet_S2_9
AI monitoring tool,CoDiet_S2_10
artificial intelligence,CoDiet_S2_11
Bayesian,CoDiet_S2_12
bioinformatics,CoDiet_S2_13
causal graphical models,CoDiet_S2_14
causal induction,CoDiet_S2_15
causal inference,CoDiet_S2_16
causal learning,CoDiet_S2_17
causal models,obo:OBCS_0000018
causal representation,CoDiet_S2_19
causal variables,CoDiet_S2_20
chemometrics,CoDiet_S2_21
classification,CoDiet_S2_22
computer vision,CoDiet_S2_23
correlation,CoDiet_S2_24
correlations,CoDiet_S2_25
data integration,CoDiet_S2_26
deep learning,CoDiet_S2_27
informatic analysis,CoDiet_S2_28
insilico planning,CoDiet_S2_29
machine learning,CoDiet_S2_30
mathematical modelling,CoDiet_S2_31
MetaboNetworks,CoDiet_S2_32
multivariate analysis,CoDiet_S2_33
NLP,CoDiet_S2_34
prolog,CoDiet_S2_35
regression,CoDiet_S2_36
statistical spectroscopy,CoDiet_S2_37
R command,obo:STATO_0000041
Python command,obo:STATO_0000391
balanced design,obo:STATO_0000003
single factor design,obo:STATO_0000005
Wilk's lambda distribution,obo:STATO_0000017
normal distribution hypothesis,obo:STATO_0000019
studentized range distribution,obo:STATO_0000023
test of association between categorical variables,obo:STATO_0000027
Chi-Squared statistic,obo:STATO_0000030
binary classification,obo:STATO_0000031
matched pair of subjects,obo:STATO_0000038
Anderson-Darling test,obo:STATO_0000042
one-way ANOVA,obo:STATO_0000044
two-way ANOVA,obo:STATO_0000045
block design,obo:STATO_0000046
multiway ANOVA,obo:STATO_0000048
Hardy-Weinberg equilibrium hypothesis,obo:STATO_0000049
Poisson distribution,obo:STATO_0000051
Z-test,obo:STATO_0000052
false positive rate,obo:STATO_0000053
homoskedasticity hypothesis,obo:STATO_0000054
absence of association hypothesis,obo:STATO_0000056
null hypothesis,obo:STATO_0000057
goodness of fit hypothesis,obo:STATO_0000058
Student's t distribution,obo:STATO_0000059
hypergeometric distribution,obo:STATO_0000060
