Entity,Identifier
alcohol moderation,CoDiet_B1_1
dietary saturated fat,CoDiet_B1_11
excess alcohol consumption,CoDiet_B1_12
excessive energy consumption,CoDiet_B1_13
fruits,CoDiet_B1_14
high-calorie foods,CoDiet_B1_15
high-fat diet,CoDiet_B1_16
high-protein diet,CoDiet_B1_17
increased consumption of fresh fruits,CoDiet_B1_18
increased consumption of low-fat dairy products,CoDiet_B1_19
animal fats,CoDiet_B1_2
increased consumption of vegetables,CoDiet_B1_20
intermittent fasting,CoDiet_B1_21
ketogenic diet,CoDiet_B1_22
low-carbohydrate diet,CoDiet_B1_23
low-fat diet,CoDiet_B1_24
lower salt intake,CoDiet_B1_25
malnutrition,CoDiet_B1_26
meat-sweet diet,CoDiet_B1_27
Mediterranean diet,CoDiet_B1_28
nuts and seeds,CoDiet_B1_29
animal-based products,CoDiet_B1_3
plant-based food,CoDiet_B1_30
polyunsaturated fat,CoDiet_B1_31
replacement of SFAs,CoDiet_B1_32
satiety,CoDiet_B1_33
saturated fat,CoDiet_B1_34
simple sugars,CoDiet_B1_35
sodium reduction,CoDiet_B1_36
total calories,CoDiet_B1_37
vegan,CoDiet_B1_38
vegetables,CoDiet_B1_39
atherogenic diet,CoDiet_B1_4
vegetarian,CoDiet_B1_40
western diet,CoDiet_B1_41
western dietary pattern,CoDiet_B1_42
whole grains,CoDiet_B1_43
caloric intake,CoDiet_B1_5
caloric restriction,CoDiet_B1_6
diabetogenic diet,CoDiet_B1_7
dietary fat,CoDiet_B1_8
dietary chemical component,obo:CDNO_0000001
dry matter,obo:CDNO_0000002
dry plant matter,obo:CDNO_0000002
digestible carbohydrate,obo:CDNO_0000003
available carbohydrate,obo:CDNO_0000003
free sugar,obo:CDNO_0000004
dietary fiber,obo:CDNO_0000005
dietary fibre,obo:CDNO_0000005
soluble dietary fibre,obo:CDNO_0000006
resistant starch,obo:CDNO_0000007
insoluble dietary fibre,obo:CDNO_0000008
seed storage protein,obo:CDNO_0000009
macromineral,obo:CDNO_0000011
macro element,obo:CDNO_0000011
micromineral,obo:CDNO_0000012
trace element,obo:CDNO_0000012
secondary metabolite,obo:CDNO_0000013
plant secondary metabolite,obo:CDNO_0000013
vitamin (molecular entity),obo:CDNO_0000014
dietary calcium,obo:CDNO_0000015
dietary chlorine,obo:CDNO_0000016
dietary magnesium,obo:CDNO_0000017
dietary phosphorus,obo:CDNO_0000018
dietary potassium,obo:CDNO_0000019
dietary sodium,obo:CDNO_0000020
dietary sulfur,obo:CDNO_0000021
dietary chromium,obo:CDNO_0000022
dietary copper,obo:CDNO_0000023
dietary fluorine,obo:CDNO_0000024
dietary iodine,obo:CDNO_0000025
dietary iron,obo:CDNO_0000026
dietary manganese,obo:CDNO_0000027
dietary molybdenum ,obo:CDNO_0000028
dietary selenium,obo:CDNO_0000029
dietary zinc,obo:CDNO_0000030
gum,obo:CDNO_0000031
