Entity,Identifier
age,CoDiet_G1_1
ages,CoDiet_G1_2
female,CoDiet_G1_3
gender,CoDiet_G1_4
male,CoDiet_G1_5
man,CoDiet_G1_6
men,CoDiet_G1_7
sex,CoDiet_G1_8
woman,CoDiet_G1_9
women,CoDiet_G1_10
ethnic differences,CoDiet_G1_11
ethnic groups,CoDiet_G1_12
racial groups,CoDiet_G1_13
family history,CoDiet_G1_14
frailty,CoDiet_G1_15
menopausia,CoDiet_G1_16
menopause,CoDiet_G1_17
menopausal,CoDiet_G1_18
pregnancy,CoDiet_G1_19
pregnant,CoDiet_G1_20
vulnerable population,CoDiet_G1_21
vulnerably,CoDiet_G1_22
environmental factors,CoDiet_G2_1
exercise,CoDiet_G2_2
increased physical activity,CoDiet_G2_3
lack of physical activity,CoDiet_G2_4
lifestyle,CoDiet_G2_5
lifestyle factors,CoDiet_G2_6
lifestyle habits,CoDiet_G2_7
physical activity,CoDiet_G2_8
physical inactivity,CoDiet_G2_9
regular physical activity,CoDiet_G2_10
resistance training,CoDiet_G2_11
sedentary,CoDiet_G2_12
sedentary lifestyle,CoDiet_G2_13
smoking,CoDiet_G2_14
smoking cessation,CoDiet_G2_15
sportive,CoDiet_G2_16
